---,RecipeName,ShortDesc,RecipeType,TimeToCraft,Tier,CraftXP,CraftingStations,RequiredFuel,Icon,BuildingModule,DestroyStationOnComplete,RecipeItemFlags,Ingredient1ID,Ingredient1Quantity,Ingredient2ID,Ingredient2Quantity,Ingredient3ID,Ingredient3Quantity,Ingredient4ID,Ingredient4Quantity,CatalystID,Result1ID,Result1Quantity,Result2ID,Result2Quantity,Result3ID,Result3Quantity,Result4ID,Result4Quantity,Result1Weight,Result2Weight,Result3Weight,Result4Weight,ThrallRecipeFeatRequirement,IsThrallMachineRecipe,IsRecipeEnabled,MapMarkerIcon,ExilesJourneyTrigger,DLCPackage
2706,"NSLOCTEXT("""", ""RecipesTable_2706_RecipeName"", ""Aquilonian Scout Saddle"")","NSLOCTEXT("""", ""RecipesTable_2706_ShortDesc"", ""A scout saddle in the Aquilonian style"")","Armor","60.000000","3","348","18525","0","/Game/UI/Textures/Icons/Icon_saddle_aquilonia_3.Icon_saddle_aquilonia_3","None","False","0","14174","20","12515","18","12512","50","0","0","0","2706","1","0","0","0","0","0","0","0","0","0","0","0","False","True","None","None","None"
2707,"NSLOCTEXT("""", ""RecipesTable_2707_RecipeName"", ""Savage Cavalry Saddle"")","NSLOCTEXT("""", ""RecipesTable_2707_ShortDesc"", ""A cavalry saddle designed to intimidate"")","Armor","60.000000","3","400","18525","0","/Game/UI/Textures/Icons/Icon_saddle_pict_3.Icon_saddle_pict_3","None","False","0","14174","20","12516","45","16003","15","0","0","0","2707","1","0","0","0","0","0","0","0","0","0","0","0","False","True","None","None","None"
2708,"NSLOCTEXT("""", ""RecipesTable_2708_RecipeName"", ""Warhorse Saddle Light"")","NSLOCTEXT("""", ""RecipesTable_2708_ShortDesc"", ""A heavy saddle designed for war"")","Armor","60.000000","2","320","18525","0","/Game/UI/Textures/Icons/Icon_saddle_basic_1.Icon_saddle_basic_1","None","False","0","14174","20","11501","45","12511","50","0","0","0","2708","1","0","0","0","0","0","0","0","0","0","0","0","False","True","None","None","None"
2709,"NSLOCTEXT("""", ""RecipesTable_2709_RecipeName"", ""Warhorse Saddle Medium"")","NSLOCTEXT("""", ""RecipesTable_2709_ShortDesc"", ""A heavy saddle designed for war"")","Armor","60.000000","3","470","18525","0","/Game/UI/Textures/Icons/Icon_saddle_basic_2.Icon_saddle_basic_2","None","False","0","14174","20","12512","40","11502","45","0","0","0","2709","1","0","0","0","0","0","0","0","0","0","0","0","False","True","None","None","None"
2710,"NSLOCTEXT("""", ""RecipesTable_2710_RecipeName"", ""Warhorse Saddle Heavy"")","NSLOCTEXT("""", ""RecipesTable_2710_ShortDesc"", ""A heavy saddle designed for war"")","Armor","60.000000","3","3370","18525","0","/Game/UI/Textures/Icons/Icon_saddle_basic_3.Icon_saddle_basic_3","None","False","0","14174","20","18062","45","16003","15","0","0","0","2710","1","0","0","0","0","0","0","0","0","0","0","0","False","True","None","None","None"
2782,"NSLOCTEXT("""", ""RecipesTable_2782_RecipeName"", ""Lance"")","NSLOCTEXT("""", ""RecipesTable_2782_ShortDesc"", ""A long, pole-like weapon with a sharpened end"")","Weapon","10.000000","2","1336","89301","0","/Game/UI/Textures/Icons/Icon_basic_lance.Icon_basic_lance","None","False","0","16021","8","11501","14","0","0","0","0","0","2782","1","0","0","0","0","0","0","0","0","0","0","0","False","True","None","None","None"
2783,"NSLOCTEXT("""", ""RecipesTable_2783_RecipeName"", ""Exceptional Lance"")","NSLOCTEXT("""", ""RecipesTable_2783_ShortDesc"", ""A long, pole-like weapon with a sharpened end"")","Weapon","10.000000","2","1504","89301","0","/Game/UI/Textures/Icons/Icon_basic_lance.Icon_basic_lance","None","False","0","16021","9","11501","16","0","0","0","0","0","2783","1","0","0","0","0","0","0","0","0","0","0","2782","False","True","None","None","None"
2784,"NSLOCTEXT("""", ""RecipesTable_2784_RecipeName"", ""Flawless Lance"")","NSLOCTEXT("""", ""RecipesTable_2784_ShortDesc"", ""A long, pole-like weapon with a sharpened end"")","Weapon","10.000000","2","1672","89301","0","/Game/UI/Textures/Icons/Icon_basic_lance.Icon_basic_lance","None","False","0","16021","10","11501","18","0","0","0","0","0","2784","1","0","0","0","0","0","0","0","0","0","0","2782","False","True","None","None","None"
2785,"NSLOCTEXT("""", ""RecipesTable_2785_RecipeName"", ""Strong Lance"")","NSLOCTEXT("""", ""RecipesTable_2785_ShortDesc"", ""A long, pole-like weapon with a sharpened end"")","Weapon","60.000000","4","5840","89301","0","/Game/UI/Textures/Icons/epic_icon_basic_lance.epic_icon_basic_lance","None","False","0","11129","2","18061","20","0","0","0","0","0","2785","1","0","0","0","0","0","0","0","0","0","0","0","False","True","None","None","None"
2786,"NSLOCTEXT("""", ""RecipesTable_2786_RecipeName"", ""Exceptional Strong Lance"")","NSLOCTEXT("""", ""RecipesTable_2786_ShortDesc"", ""A long, pole-like weapon with a sharpened end"")","Weapon","60.000000","4","6256","89301","0","/Game/UI/Textures/Icons/epic_icon_basic_lance.epic_icon_basic_lance","None","False","0","11129","2","18061","22","0","0","0","0","0","2786","1","0","0","0","0","0","0","0","0","0","0","2785","False","True","None","None","None"
2787,"NSLOCTEXT("""", ""RecipesTable_2787_RecipeName"", ""Flawless Strong Lance"")","NSLOCTEXT("""", ""RecipesTable_2787_ShortDesc"", ""A long, pole-like weapon with a sharpened end"")","Weapon","60.000000","4","6880","89301","0","/Game/UI/Textures/Icons/epic_icon_basic_lance.epic_icon_basic_lance","None","False","0","11129","2","18061","25","0","0","0","0","0","2787","1","0","0","0","0","0","0","0","0","0","0","2785","False","True","None","None","None"
4150,"NSLOCTEXT("""", ""RecipesTable_4150_RecipeName"", ""Sign (Alchemist)"")","NSLOCTEXT("""", ""RecipesTable_4150_ShortDesc"", ""A sign made out of wood"")","Decoration","10.000000","3","50","18512","0","/Game/UI/Textures/Icons/icon_sign_alchemy.icon_sign_alchemy","None","False","0","11108","10","14174","5","0","0","0","0","0","4150","1","0","0","0","0","0","0","0","0","0","0","0","False","True","None","None","None"
4151,"NSLOCTEXT("""", ""RecipesTable_4151_RecipeName"", ""Sign (Blacksmith)"")","NSLOCTEXT("""", ""RecipesTable_4151_ShortDesc"", ""A sign made out of wood"")","Decoration","10.000000","3","50","18512","0","/Game/UI/Textures/Icons/icon_sign_blacksmith.icon_sign_blacksmith","None","False","0","11108","10","14174","5","0","0","0","0","0","4151","1","0","0","0","0","0","0","0","0","0","0","0","False","True","None","None","None"
4152,"NSLOCTEXT("""", ""RecipesTable_4152_RecipeName"", ""Sign (Armorsmith)"")","NSLOCTEXT("""", ""RecipesTable_4152_ShortDesc"", ""A sign made out of wood"")","Decoration","10.000000","3","50","18512","0","/Game/UI/Textures/Icons/icon_sign_armorsmith.icon_sign_armorsmith","None","False","0","11108","10","14174","5","0","0","0","0","0","4152","1","0","0","0","0","0","0","0","0","0","0","0","False","True","None","None","None"
4153,"NSLOCTEXT("""", ""RecipesTable_4153_RecipeName"", ""Sign (Smeltery)"")","NSLOCTEXT("""", ""RecipesTable_4153_ShortDesc"", ""A sign made out of wood"")","Decoration","10.000000","3","50","18512","0","/Game/UI/Textures/Icons/icon_sign_forge.icon_sign_forge","None","False","0","11108","10","14174","5","0","0","0","0","0","4153","1","0","0","0","0","0","0","0","0","0","0","0","False","True","None","None","None"
4154,"NSLOCTEXT("""", ""RecipesTable_4154_RecipeName"", ""Sign (Tannery)"")","NSLOCTEXT("""", ""RecipesTable_4154_ShortDesc"", ""A sign made out of wood"")","Decoration","10.000000","3","50","18512","0","/Game/UI/Textures/Icons/icon_sign_tannery.icon_sign_tannery","None","False","0","11108","10","14174","5","0","0","0","0","0","4154","1","0","0","0","0","0","0","0","0","0","0","0","False","True","None","None","None"
